Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
52,Isaac Bonga,PG,19,LAL,5,0,3.4,0.4,1.4,0.286,0,0.2,0,0.4,1.2,0.333,0.286,0.4,0.6,0.667,0.4,0.4,0.8,0.6,0.6,0,0.4,0.6,1.2
53,Devin Booker,SG,22,PHO,20,20,35.3,8.6,19.2,0.446,2.4,7.5,0.32,6.2,11.7,0.528,0.509,4.3,5.1,0.842,0.5,3.3,3.8,6.8,1.1,0.1,4,3.4,23.8
54,Chris Boucher,PF,26,TOR,4,0,3.5,1,2.3,0.444,0.3,1.3,0.2,0.8,1,0.75,0.5,1,1.5,0.667,0.8,1,1.8,0,0,0.8,0,0.5,3.3
55,Avery Bradley,SG,28,LAC,23,23,29.7,3.2,8.5,0.379,0.9,3.2,0.288,2.3,5.3,0.434,0.433,0.4,0.5,0.818,0.5,1.9,2.4,1.8,0.7,0.5,1.6,2.7,7.7
56,Mikal Bridges,SF,22,PHO,30,16,24,2.7,6.7,0.41,1.2,3.6,0.333,1.5,3.1,0.5,0.5,0.9,1.1,0.848,0.5,1.9,2.4,1.2,1.3,0.4,0.8,2.2,7.6
57,Miles Bridges,SF,20,CHO,28,0,20.3,3,6.3,0.48,1,2.7,0.36,2,3.6,0.57,0.557,0.9,1.1,0.75,0.6,3.2,3.8,1,0.6,0.8,0.6,1.4,7.8
58,Isaiah Briscoe,PG,22,ORL,10,0,7,0.8,1.9,0.421,0.1,0.1,1,0.7,1.8,0.389,0.447,0.2,0.5,0.4,0,0.6,0.6,0.9,0,0,0.3,0.8,1.9
59,Ryan Broekhoff,SG,28,DAL,14,0,5.2,0.6,1.6,0.364,0.4,1.3,0.278,0.2,0.3,0.75,0.477,0.1,0.1,1,0.1,0.8,0.9,0.2,0.1,0.1,0.1,0.3,1.6
60,Malcolm Brogdon,SG,26,MIL,27,27,30,5.9,11.5,0.516,1.8,3.9,0.467,4.1,7.6,0.541,0.595,1.6,1.7,0.978,0.9,3.5,4.4,3.3,0.6,0.2,1.6,1.7,15.3
61,Dillon Brooks,SF,23,MEM,11,0,18.9,2.5,6,0.409,0.6,1.7,0.368,1.8,4.3,0.426,0.462,1.3,1.6,0.778,0.5,1.5,2.1,0.9,0.7,0.4,0.8,2.7,6.8
62,MarShon Brooks,SG,30,MEM,26,0,13.9,2.8,6.2,0.457,0.6,2,0.294,2.3,4.3,0.532,0.503,0.8,1.2,0.677,0.5,1.2,1.7,0.9,0.3,0.2,0.7,1.2,7.1
63,Bruce Brown,SG,22,DET,20,7,18.5,1.7,4,0.413,0.3,1.2,0.208,1.4,2.8,0.5,0.444,0.7,1.1,0.667,0.6,1.9,2.5,1,0.6,0.5,0.6,2.5,4.3
64,Jaylen Brown,SG,22,BOS,24,19,27.3,4.4,10.8,0.409,1.1,3.9,0.28,3.3,6.9,0.482,0.459,1.8,2.6,0.677,1.2,3,4.2,1.5,0.7,0.6,1.5,2.7,11.7
65,Lorenzo Brown,PG,28,TOR,19,0,8.8,1,2.9,0.339,0.3,1.3,0.208,0.7,1.7,0.438,0.384,0.1,0.1,1,0.2,1,1.2,1.1,0.4,0.3,0.7,0.9,2.4
66,Sterling Brown,SG,23,MIL,19,0,12.8,1.8,3.8,0.472,0.7,1.9,0.361,1.1,1.9,0.583,0.563,0.3,0.4,0.75,0.6,2,2.6,0.7,0.2,0.1,0.4,1.3,4.6
67,Troy Brown,SF,19,WAS,13,0,7,0.9,2.5,0.364,0.2,0.5,0.333,0.8,2.1,0.37,0.394,0.5,0.6,0.875,0.2,1.4,1.6,0.8,0.5,0,0.3,0.5,2.5
68,Jalen Brunson,PG,22,DAL,25,5,15.6,2.4,5.2,0.457,0.4,1.7,0.238,2,3.5,0.563,0.496,0.8,1.3,0.625,0.3,1.1,1.4,1.8,0.6,0,0.6,1.2,5.9
69,Thomas Bryant,C,21,WAS,20,14,14.2,2.5,4.1,0.598,0.2,1,0.158,2.3,3.2,0.73,0.616,1,1.1,0.864,1.1,3,4.1,0.8,0.4,0.7,0.6,1.1,6
70,Reggie Bullock,SG,27,DET,19,19,28.4,3.5,8.9,0.394,1.9,5.5,0.356,1.6,3.5,0.455,0.503,1.4,1.6,0.867,0.4,1.9,2.3,2.4,0.6,0.1,1.1,1.5,10.4
71,Trey Burke,PG,26,NYK,22,5,20.3,4.4,10.5,0.414,1,2.9,0.365,3.3,7.7,0.432,0.463,1.9,2.3,0.804,0.6,1.6,2.2,3,0.6,0.1,1.1,1,11.6
72,Alec Burks,SG,27,TOT,27,5,20.4,3.1,8.2,0.376,1,3.1,0.337,2,5.1,0.399,0.439,2.1,2.4,0.848,0.4,2.6,3,1.7,0.6,0.2,1.1,1.3,9.3
72,Alec Burks,SG,27,UTA,17,0,15.8,2.8,6.7,0.412,0.9,2.5,0.372,1.8,4.2,0.437,0.482,1.9,2.2,0.868,0.1,1.5,1.6,1.2,0.4,0.2,0.9,1.3,8.4
72,Alec Burks,SG,27,CLE,10,5,28.3,3.6,10.7,0.336,1.2,4,0.3,2.4,6.7,0.358,0.393,2.3,2.8,0.821,0.9,4.5,5.4,2.5,0.9,0.1,1.6,1.3,10.7
73,Deonte Burton,SG,25,OKC,15,0,8.7,1.3,3.1,0.435,0.3,0.9,0.308,1.1,2.2,0.485,0.478,0.3,0.4,0.833,0.1,1,1.1,0.3,0.2,0.3,0.5,1.1,3.3
74,Jimmy Butler,SG,29,TOT,24,24,33.4,7.2,14.9,0.483,1.6,3.8,0.413,5.6,11.1,0.508,0.536,4.4,5.3,0.833,1.8,3.3,5,3.5,2,0.8,1.5,1.8,20.4
74,Jimmy Butler,SG,29,MIN,10,10,36.1,7.4,15.7,0.471,1.7,4.5,0.378,5.7,11.2,0.509,0.525,4.8,6.1,0.787,1.6,3.6,5.2,4.3,2.4,1,1.4,1.8,21.3
74,Jimmy Butler,SG,29,PHI,14,14,31.4,7.1,14.4,0.493,1.5,3.4,0.447,5.6,11,0.506,0.545,4.1,4.6,0.877,1.9,3,4.9,2.9,1.8,0.6,1.5,1.9,19.7
75,Jose Calderon,PG,37,DET,21,0,11.9,0.9,2.8,0.328,0.2,1.3,0.148,0.7,1.5,0.484,0.362,0.2,0.3,0.714,0.1,0.9,1,2.1,0.6,0.1,0.6,1.3,2.2
76,Kentavious Caldwell-Pope,SG,25,LAL,30,3,21.7,2.9,7.1,0.407,1.5,4.2,0.36,1.4,3,0.472,0.512,1.9,2.1,0.905,0.5,1.9,2.4,0.8,0.8,0.2,0.5,1.4,9.2
77,Isaiah Canaan,PG,27,PHO,19,15,26.5,2.7,6.8,0.395,1.3,3.8,0.347,1.4,3,0.456,0.492,0.8,1.1,0.75,0.3,2.3,2.6,3.3,0.6,0,1.5,2.4,7.5
78,Clint Capela,C,24,HOU,28,28,33.7,7.8,12,0.648,0,0,,7.8,12,0.648,0.648,2.2,3.6,0.604,4.8,6.9,11.6,1.5,0.5,2,1.6,2.9,17.7
79,DeMarre Carroll,SF,32,BRK,20,0,22.8,2.6,7.5,0.347,1.3,4.2,0.301,1.4,3.4,0.403,0.43,2.5,3.1,0.82,1.1,4,5.1,0.9,0.5,0.1,1.2,1.5,9
80,Jevon Carter,G,23,MEM,1,0,22,5,9,0.556,1,5,0.2,4,4,1,0.611,0,0,,0,1,1,0,2,1,1,3,11
81,Vince Carter,SF,42,ATL,26,8,17.5,2.6,6.3,0.411,1.4,3.9,0.366,1.2,2.4,0.484,0.525,0.6,0.8,0.762,0.3,2,2.3,1,0.5,0.4,0.5,1.6,7.2
82,Wendell Carter,C,19,CHI,30,30,25.1,4.1,8.5,0.477,0.2,0.8,0.208,3.9,7.7,0.504,0.486,2.3,2.9,0.784,1.9,4.9,6.8,2,0.6,1.5,1.6,3.5,10.6
83,Michael Carter-Williams,PG,27,HOU,15,1,9.3,1.5,3.8,0.404,0.4,1.1,0.375,1.1,2.7,0.415,0.456,0.8,1.7,0.462,0.2,0.7,0.9,1.3,0.6,0.4,0.7,1.7,4.3
84,Omri Casspi,SF,30,MEM,23,0,12,1.8,3.3,0.532,0.3,0.9,0.333,1.5,2.4,0.607,0.578,0.9,1.6,0.583,0.3,2.6,2.9,0.8,0.4,0.2,0.5,0.9,4.8
